Date : 2024-11-29 14:29:24
Directory : c:\Users\hzins\Desktop\X-base
Total : 195 files,  1172325 codes, 226 comments, 1142 blanks, all 1173693 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\hzins\Desktop\X-base\data_input\WTI月差预测2.xlsx                        | Excel    |        688 |          0 |          4 |        692 |
| c:\Users\hzins\Desktop\X-base\data_input\WTI连1-连4月差.xlsx                      | Excel    |        510 |          0 |          1 |        511 |
| c:\Users\hzins\Desktop\X-base\data_input\wti.xlsx                             | Excel    |      7,719 |          0 |         14 |      7,733 |
| c:\Users\hzins\Desktop\X-base\data_input\房地产新开工单月值.xlsx                       | Excel    |        126 |          0 |          0 |        126 |
| c:\Users\hzins\Desktop\X-base\data_input\房地产销售面积.xlsx                         | Excel    |        131 |          0 |          0 |        131 |
| c:\Users\hzins\Desktop\X-base\data_input\螺纹.xlsx                              | Excel    |        208 |          0 |          0 |        208 |
| c:\Users\hzins\Desktop\X-base\data_input\螺纹表需因子2.xlsx                         | Excel    |      1,059 |          0 |          6 |      1,065 |
| c:\Users\hzins\Desktop\X-base\data_input\螺纹需求因子.xlsx                          | Excel    |      7,690 |          0 |        104 |      7,794 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\Brent-WTI价差.xlsx                | Excel    |      2,235 |          0 |         14 |      2,249 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\WTI月差预测1.xlsx                   | Excel    |        469 |          0 |          8 |        477 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\WTI连1-连4月差拟合残差-库欣原油库存-2.xlsx    | Excel    |        473 |          0 |          2 |        475 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\predictions_rbob.xlsx           | Excel    |        343 |          0 |          1 |        344 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\test1.xlsx                      | Excel    |      1,170 |          0 |         16 |      1,186 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\wti.xlsx                        | Excel    |      3,509 |          0 |         21 |      3,530 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\wti_残差拟合.xlsx                   | Excel    |      3,331 |          0 |         19 |      3,350 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\wti原油期货价格.xlsx                  | Excel    |        762 |          0 |          3 |        765 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\中国10年期国债收益率.xlsx                | Excel    |        717 |          0 |          1 |        718 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\中国主营销售库存.xlsx                   | Excel    |        102 |          0 |          1 |        103 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\中国汽油社会库存.xlsx                   | Excel    |        651 |          0 |          1 |        652 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\中国汽油表需.xlsx                     | Excel    |        440 |          0 |          2 |        442 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\中国独立炼厂汽油表需.xlsx                 | Excel    |        111 |          0 |          2 |        113 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\亚洲石脑油.xlsx                      | Excel    |        512 |          0 |          3 |        515 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\山东柴油裂解差.xlsx                    | Excel    |      1,211 |          0 |         12 |      1,223 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\山东汽油裂解差.xlsx                    | Excel    |        481 |          0 |          5 |        486 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\山东汽油裂解差1.xlsx                   | Excel    |        456 |          0 |          5 |        461 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\煤柴价差日度.xlsx                     | Excel    |        365 |          0 |          5 |        370 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\独立炼厂库存.xlsx                     | Excel    |         79 |          0 |          2 |         81 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\美国RBOB汽油裂解.xlsx                 | Excel    |      1,649 |          0 |          4 |      1,653 |
| c:\Users\hzins\Desktop\X-base\data_input_auto\美国RBOB汽油裂解1.xlsx                | Excel    |      1,832 |          0 |          7 |      1,839 |
| c:\Users\hzins\Desktop\X-base\data_output\123_trend1.xlsx                     | Excel    |      1,403 |          0 |          5 |      1,408 |
| c:\Users\hzins\Desktop\X-base\data_output\30大中城市商品房成交面积30DMA_resid1.xlsx      | Excel    |      1,029 |          0 |          8 |      1,037 |
| c:\Users\hzins\Desktop\X-base\data_output\30大中城市商品房成交面积30DMA_resid2.xlsx      | Excel    |      1,031 |          0 |          7 |      1,038 |
| c:\Users\hzins\Desktop\X-base\data_output\30大中城市商品房成交面积30DMA_seasonal1.xlsx   | Excel    |      1,212 |          0 |          6 |      1,218 |
| c:\Users\hzins\Desktop\X-base\data_output\30大中城市商品房成交面积30DMA_seasonal2.xlsx   | Excel    |      1,084 |          0 |          9 |      1,093 |
| c:\Users\hzins\Desktop\X-base\data_output\30大中城市商品房成交面积30DMA_trend1.xlsx      | Excel    |      1,123 |          0 |          4 |      1,127 |
| c:\Users\hzins\Desktop\X-base\data_output\30大中城市商品房成交面积30DMA_trend2.xlsx      | Excel    |      1,340 |          0 |          4 |      1,344 |
| c:\Users\hzins\Desktop\X-base\data_output\30大中城市商品房成交面积7DMA_resid1.xlsx       | Excel    |      1,002 |          0 |          7 |      1,009 |
| c:\Users\hzins\Desktop\X-base\data_output\30大中城市商品房成交面积7DMA_resid2.xlsx       | Excel    |      1,067 |          0 |          5 |      1,072 |
| c:\Users\hzins\Desktop\X-base\data_output\30大中城市商品房成交面积7DMA_seasonal1.xlsx    | Excel    |      1,112 |          0 |         14 |      1,126 |
| c:\Users\hzins\Desktop\X-base\data_output\30大中城市商品房成交面积7DMA_seasonal2.xlsx    | Excel    |      1,102 |          0 |          9 |      1,111 |
| c:\Users\hzins\Desktop\X-base\data_output\30大中城市商品房成交面积7DMA_trend1.xlsx       | Excel    |      1,402 |          0 |          5 |      1,407 |
